  0.6978   0.1343   2.2482   0.1232   1.7504   0.6969   0.8600
 -0.0331   0.7540   1.8348   0.9260   1.7623   0.6412   2.0944
  0.4233   1.6957  -0.7794   0.7190  -0.9810   1.5682   0.5311
 -0.1473   1.4136  -1.8762   0.2628   0.4636   3.6590   1.9537
  1.0360   0.1340  -0.1709   0.3404  -0.5390   2.4289  -0.5868
  1.2507  -0.2117  -0.0174   0.4177   0.5118   1.9168  -0.8509
  1.3030  -0.7971  -0.3760  -0.9203  -1.4728   1.1552  -1.6577
 -0.8815  -2.2758   0.5554  -1.9620   0.3703   1.9299  -0.8612
 -0.6940  -2.8902   0.4452  -1.8131   0.2804   0.1289   0.6116
 -0.7809  -0.0977  -0.0338  -2.9613   0.6427   0.7746  -1.7515
  0.0901  -1.0717  -1.2461  -1.2303   0.8940  -0.0103  -0.5573
  0.1827  -1.6281   0.4211  -3.0494   0.0576  -0.2755  -0.6103
 -0.4323  -1.5435   1.1161  -3.7719   0.4312   0.8714  -1.5530
  1.6874   0.8594   1.6980  -3.0344   1.2775   1.2179   1.0515
  2.9488   0.4509   0.8545   0.4914   0.0964   1.3701   0.2253
  3.5436  -0.9664   0.8527   0.1608   0.8580   1.1138  -0.5072
  3.0329  -1.6834   0.9170   0.6599   1.7095   1.8068  -0.4262
  1.0259  -2.5476   0.1582  -0.6173   0.7053   2.2832  -0.1622
  0.7288  -1.0102  -0.5098  -1.2950   0.8640   2.5110  -1.8637
 -0.4674  -0.4089  -2.2572  -0.0638   0.8482   2.8871  -0.8040
  0.3701  -0.6165   0.4787   0.5701   1.1950   2.0174   1.1542
  0.2248  -0.5486  -0.7286  -1.5558  -0.5478   1.4061   0.6407
  0.8303   0.0437  -0.7249  -0.8082  -0.0226   1.8884  -0.2291
 -1.7589  -0.3549   0.3873  -1.4034  -0.0534   1.9660   0.6077
 -1.1618  -0.7363  -2.7496  -1.5599  -3.3473   1.3044  -0.8112
 -1.5730  -0.5187  -2.3246  -1.5396  -0.8144   0.5927  -0.6451
 -1.1507   0.3969  -1.7670  -0.7198   1.6513   1.5487   1.4650
 -0.1920  -0.3216  -1.2623   2.9337   0.8449   2.1982   0.4061
 -1.1517  -0.0797  -0.7689   4.4063  -0.0030   1.6608  -0.8163
 -1.3875  -0.1858  -1.7791   2.8311   1.3714   0.9453  -2.2505
  0.9885   0.1243  -1.9987   1.7201  -0.8625   1.3915   0.2636
  2.0188  -0.3929  -0.6430   0.6850  -1.0436   2.4314   1.5456
  1.2158  -1.1188   0.1526   2.2212   0.7669   1.4613   0.7310
  0.3937  -2.3926   0.2940   0.4987  -0.1929   2.6082   0.1921
  0.5971  -2.2114  -0.7239  -1.3929   0.2043   2.7277  -0.7101
  1.9595  -2.5346   1.0176  -1.5786   0.6094   1.6629   0.5302
  1.2188  -1.8979   0.8621  -2.1641   0.6332   0.6181   0.8000
  0.9646  -1.9957   0.0267  -2.2267   0.6503   0.2767   0.9930
 -1.3233  -0.9985   0.8480   0.3084   0.0169  -2.4360  -0.2041
  1.7928   0.0080   0.4968   0.7607  -0.0643  -2.3585  -0.0044
  0.3137  -0.5429  -0.7380   0.1773   0.1555  -0.0455  -0.5590
 -0.7943  -0.9049   0.1413  -0.0779   1.7109   0.2415  -0.2524
  0.0849   0.3398   0.9319   0.3759  -0.4159  -0.2532  -1.1001
  1.3003  -1.0739   1.0422  -0.2711  -1.0572   0.1647   1.0833
  0.6526  -1.2449   1.9586  -1.8316  -1.4423  -0.1529   0.4201
  0.1895  -1.8616   2.7724   0.3192  -0.3426  -0.6083   0.0872
 -0.8399  -2.5392   2.5582   0.3843   0.0742  -1.3168   0.2050
 -0.1242  -0.7476  -0.3643   0.0373  -0.6128  -1.1775  -0.0944
  0.5698  -0.1314  -0.1641  -1.2411   0.2982  -1.0523   0.2307
  2.0088   0.2371  -0.3480  -1.3109   0.3118  -1.2673  -0.6481
  2.0889   1.1616   0.7131  -0.8725  -0.4290  -1.9107   0.9948
  0.1465   0.0551   0.6769   0.8487  -0.6342  -2.2904   0.2859
 -1.1862  -0.6794   1.2951  -1.4588   0.0092  -0.2695  -0.8972
  0.1036  -0.8959   1.4979  -0.6855   0.2044  -1.5604   0.0792
 -1.3585   1.7454   1.0067  -0.9868   0.6497  -0.0446   0.4763
